WinningNumber1,WinningNumber2,WinningNumber3,WinningNumber4,WinningNumber5,WinningNumber6,DrawDate
37,5,25,31,18,22,2025-02-13
36,9,13,17,19,24,2025-02-11
28,34,42,5,17,41,2025-02-08
36,6,13,12,28,37,2025-02-06
33,19,29,21,4,22,2025-02-04
8,29,18,15,38,27,2025-02-01
42,4,22,28,31,12,2025-01-30
10,22,31,28,11,14,2025-01-28
10,12,26,15,27,11,2025-01-25
20,27,40,16,19,12,2025-01-23
29,19,35,30,12,15,2025-01-21
9,13,40,42,14,33,2025-01-18
32,25,38,42,40,34,2025-01-16
16,12,31,34,3,37,2025-01-14
9,38,23,12,32,29,2025-01-11
25,4,16,32,22,34,2025-01-09
25,37,9,41,20,34,2025-01-07
24,41,2,36,6,5,2025-01-04
37,41,5,33,42,40,2025-01-02
27,26,9,41,19,20,2024-12-31
13,15,41,16,12,23,2024-12-28
5,12,23,19,34,25,2024-12-26
29,32,31,7,16,19,2024-12-24
42,27,12,8,38,18,2024-12-21
33,4,31,38,39,16,2024-12-19
37,33,20,14,41,21,2024-12-17
33,25,19,5,24,22,2024-12-14
31,24,33,18,36,40,2024-12-12
10,5,33,4,24,29,2024-12-10
28,29,6,5,37,13,2024-12-07
17,21,13,35,41,26,2024-12-05
27,38,26,4,39,19,2024-12-03
33,3,35,24,39,1,2024-11-30
39,26,15,24,21,8,2024-11-28
19,6,28,31,32,20,2024-11-26
18,2,40,42,26,14,2024-11-23
3,30,27,17,29,20,2024-11-21
21,6,7,2,9,12,2024-11-19
41,25,15,16,34,2,2024-11-16
5,7,37,19,12,10,2024-11-14
27,17,29,9,8,32,2024-11-12
37,6,7,18,9,27,2024-11-09
40,2,33,21,14,36,2024-11-07
22,24,10,34,2,35,2024-11-05
22,15,14,10,2,21,2024-11-02
25,35,23,40,39,24,2024-10-31
18,35,23,24,37,40,2024-10-29
31,33,1,40,14,22,2024-10-26
33,6,18,2,25,31,2024-10-24
29,4,11,9,10,25,2024-10-22
4,19,29,11,10,3,2024-10-19
20,4,30,1,9,7,2024-10-17
14,6,24,23,18,20,2024-10-15
28,36,12,14,21,22,2024-10-12
25,2,42,5,38,6,2024-10-10
38,18,17,41,40,8,2024-10-08
20,39,22,7,9,1,2024-10-05
28,19,35,41,25,3,2024-10-03
23,25,29,39,41,34,2024-10-01
12,33,42,30,18,37,2024-09-28
34,11,32,41,13,39,2024-09-26
8,16,19,34,4,38,2024-09-24
20,10,14,23,3,38,2024-09-21
5,26,2,21,8,27,2024-09-19
23,42,3,16,25,40,2024-09-17
26,15,29,9,38,25,2024-09-14
7,42,38,28,17,41,2024-09-12
33,32,42,26,18,14,2024-09-10
36,29,10,40,30,5,2024-09-07
13,11,30,23,21,7,2024-09-05
11,27,37,20,39,19,2024-09-03
27,22,24,8,28,9,2024-08-31
28,21,36,9,4,17,2024-08-29
9,3,31,12,41,23,2024-08-27
26,40,17,32,20,19,2024-08-24
6,24,25,28,2,16,2024-08-22
